,Start_interval,Lactose,Whey central,Whey west
146,2020-02-10,0.30049261083743845,0.36,0.37875
147,2020-02-17,0.30049261083743845,0.36375,0.375
148,2020-02-24,0.30049261083743845,0.35875,0.37
149,2020-03-02,0.3054187192118227,0.35875,0.37
150,2020-03-09,0.3054187192118227,0.35875,0.37
151,2020-03-16,0.3054187192118227,0.35875,0.37
152,2020-03-23,0.3054187192118227,0.35,0.37
153,2020-03-30,0.3128078817733991,0.35,0.36
154,2020-04-06,0.332512315270936,0.3475,0.355
155,2020-04-13,0.33743842364532023,0.3525,0.365
156,2020-04-20,0.3497536945812808,0.3525,0.3675
157,2020-04-27,0.3694581280788178,0.3625,0.37
158,2020-05-04,0.37931034482758624,0.3625,0.38
159,2020-05-11,0.394088669950739,0.3675,0.38
160,2020-05-18,0.4088669950738916,0.365,0.38
161,2020-05-25,0.4088669950738916,0.3625,0.3675
162,2020-06-01,0.4310344827586207,0.36,0.3525
163,2020-06-08,0.44581280788177347,0.355,0.3525
164,2020-06-15,0.45812807881773404,0.3525,0.3525
165,2020-06-22,0.4679802955665025,0.33625,0.35
166,2020-06-29,0.49753694581280794,0.33125,0.35
167,2020-07-06,0.5073891625615764,0.325,0.35
168,2020-07-13,0.5123152709359606,0.3225,0.345
169,2020-07-20,0.5123152709359606,0.3175,0.3475
170,2020-07-27,0.5123152709359606,0.315,0.355
171,2020-08-03,0.5073891625615764,0.3125,0.345
172,2020-08-10,0.5073891625615764,0.3,0.34
173,2020-08-17,0.5049261083743842,0.2975,0.34
174,2020-08-24,0.5049261083743842,0.295,0.34
175,2020-08-31,0.5024630541871922,0.295,0.34
176,2020-09-07,0.49753694581280794,0.3025,0.34
177,2020-09-14,0.49753694581280794,0.3025,0.34
178,2020-09-21,0.49753694581280794,0.32,0.34
179,2020-09-28,0.49507389162561577,0.3325,0.345
180,2020-10-05,0.49507389162561577,0.335,0.3625
181,2020-10-12,0.4926108374384237,0.35,0.37
182,2020-10-19,0.4926108374384237,0.355,0.38375
183,2020-10-26,0.4901477832512316,0.365,0.38375
184,2020-11-02,0.4802955665024631,0.385,0.4
185,2020-11-09,0.47536945812807885,0.4,0.405
186,2020-11-16,0.46059113300492616,0.405,0.41
187,2020-11-23,0.46059113300492616,0.405,0.41
188,2020-11-30,0.44581280788177347,0.4175,0.43
189,2020-12-07,0.43596059113300495,0.42,0.43
190,2020-12-14,0.4236453201970444,0.435,0.455
191,2020-12-21,0.42446633825944174,0.43,0.4475
192,2020-12-28,0.4137931034482759,0.435,0.4575
194,2019-01-07,0.36453201970443355,0.47,0.4625
195,2019-01-14,0.36453201970443355,0.47,0.475
196,2019-01-21,0.36453201970443355,0.47,0.475
197,2019-01-28,0.36453201970443355,0.46875,0.4725
198,2019-02-04,0.35467980295566504,0.45625,0.4625
199,2019-02-11,0.35960591133004927,0.44,0.435
200,2019-02-18,0.35960591133004927,0.43,0.435
201,2019-02-25,0.35960591133004927,0.43,0.4175
202,2019-03-04,0.35960591133004927,0.43,0.4175
203,2019-03-11,0.35960591133004927,0.4175,0.40125
204,2019-03-18,0.35960591133004927,0.4075,0.36875
205,2019-03-25,0.35960591133004927,0.4075,0.38375
206,2019-04-01,0.35960591133004927,0.3975,0.38375
207,2019-04-08,0.35467980295566504,0.3975,0.38125
208,2019-04-15,0.3448275862068966,0.3975,0.38
209,2019-04-22,0.3349753694581281,0.38375,0.37875
210,2019-04-29,0.3349753694581281,0.37375,0.37875
211,2020-05-06,0.3300492610837439,0.36,0.37625
212,2019-05-13,0.3300492610837439,0.365,0.37
